scope,label,samples,success,failures,error_rate_pct,avg_ms,min_ms,max_ms,median_ms,p90_ms,p95_ms,p99_ms,throughput_s,received_kb_s,sent_kb_s,4xx,5xx,connection_errors,timeouts,json_assertion_failures,page_assertion_failures
overall,all_samples,158667,118374,40293,25.395,46.489,0.000,15005.000,26.000,51.000,94.000,280.000,5.301,248.138,1.429,0,359,25715,10,0,14206
overall,normal_business_excluding_negative,158667,118374,40293,25.395,46.489,0.000,15005.000,26.000,51.000,94.000,280.000,5.301,248.138,1.429,0,359,25715,10,0,14206
overall,negative_excluding_business,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
label,T01_Home,30942,25518,5424,17.530,64.395,0.000,11978.000,29.000,97.000,115.000,299.000,1.034,9.436,0.212,0,71,5353,0,0,0
label,T02_Product_Detail_With_Reviews,30934,16834,14100,45.581,69.788,0.000,15005.000,36.000,55.000,95.000,325.000,1.034,196.460,0.227,0,66,5350,9,0,8675
label,T03_Add_To_Cart,30925,25547,5378,17.390,12.848,0.000,3403.000,11.000,18.000,23.000,49.000,1.034,0.545,0.313,0,25,5352,0,0,0
label,T04_View_Cart,30920,24550,6370,20.602,37.432,0.000,4178.000,27.000,40.000,52.000,530.000,1.034,16.231,0.215,0,99,5349,0,0,920
label,T05_Change_Currency,6196,5051,1145,18.480,65.403,0.000,11455.000,31.000,99.000,118.000,296.000,0.207,1.904,0.103,0,18,1127,0,0,0
label,T06_Submit_Review,3105,2554,551,17.746,30.252,0.000,8757.000,13.000,26.000,31.000,52.000,0.104,0.086,0.049,0,24,527,0,0,0
label,T07_Verify_Review_Fragment,3104,0,3104,100.000,37.663,0.000,9499.000,13.000,22.000,27.000,78.000,0.104,0.052,0.023,0,0,526,0,0,2578
label,T08_Verify_Review_Product_Page,3104,538,2566,82.668,64.014,0.000,15002.000,36.000,54.000,91.000,297.000,0.104,19.892,0.023,0,5,527,1,0,2033
label,T09_Checkout,9269,7632,1637,17.661,49.404,0.000,2533.000,35.000,50.000,70.000,551.000,0.310,1.880,0.162,0,33,1604,0,0,0
review,review_read,34038,16834,17204,50.544,66.858,0.000,15005.000,35.000,54.000,87.000,310.000,1.138,196.512,0.250,0,66,5876,9,0,11253
review,review_submit,3105,2554,551,17.746,30.252,0.000,8757.000,13.000,26.000,31.000,52.000,0.104,0.086,0.049,0,24,527,0,0,0
review,review_verify_display,6208,538,5670,91.334,50.838,0.000,15002.000,19.000,46.000,57.000,239.000,0.208,19.941,0.046,0,5,1053,1,0,4611
negative,NEG_Review_All,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
phase,normal,1568,1382,186,11.862,31.772,4.000,219.000,28.000,49.000,77.000,127.000,5.146,210.267,1.585,0,0,0,0,0,186
phase,fault,1626,1420,206,12.669,75.263,3.000,335.000,35.000,153.000,185.000,225.000,5.408,217.919,1.742,0,0,0,0,0,206
phase,recovery,155473,115572,39901,25.664,46.337,0.000,15005.000,26.000,50.000,91.000,283.000,5.302,248.848,1.424,0,359,25715,10,0,13814
